	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-9_30	0.979648745031019	2354831	0.9156	3957	18756	0.0347622094263169	0.0645705085708874	0.35494106911846	FALSE	TRUE
SEZC-9_31	0.97640585185245	2035600	0.9059	3039	13486	0.0440456769983687	0.109951229085773	0.333366456383093	FALSE	TRUE
SEZC-9_32	0.983138043571722	1473757	0.8995	3175	12369	0.0435766836445954	0.0677662155537768	0.338245887921062	FALSE	TRUE
SEZC-9_33	0.650875170317577	145429	0.7487	448	598	0.0250836120401338	0.981328534576017	0.212011722396619	FALSE	FALSE
SEZC-9_34	0.932130111989004	1185785	0.8931	2468	9194	0.0621057211224712	0.109425176275345	0.3047274777558	FALSE	TRUE
SEZC-9_35	0.97804833701642	1131885	0.9171	3345	12735	0.035257165292501	0.0898899846732842	0.345125098154627	FALSE	TRUE
SEZC-9_37	0.967360699126276	1197683	0.8914	2619	9213	0.106479973949853	0.0793149588480179	0.303538134443878	FALSE	TRUE
SEZC-9_38	0.934831230011237	207687	0.8304	495	636	0.0220125786163522	0.986108726261204	0.208700543882827	FALSE	FALSE
SEZC-9_39	0.983772587073238	2599793	0.9132	3645	22544	0.0342885024840312	0.0530494504647384	0.351981315461803	FALSE	TRUE
SEZC-9_40	0.978946591764874	1759485	0.8986	3610	17547	0.0363594916509945	0.0657199420915588	0.348849562771171	FALSE	TRUE
SEZC-9_41	0.687309644670051	166975	0.6526	1045	1753	0.0205362236166572	0.970469061190852	0.275834679672581	FALSE	FALSE
SEZC-9_42	0.698514133699051	218270	0.6675	1312	2360	0.0305084745762712	0.972740061831875	0.287063750677766	FALSE	FALSE
SEZC-9_43	0.973637885162934	1091538	0.9167	3535	21767	0.0166766205724262	0.0728847501337126	0.356026516049489	FALSE	TRUE
SEZC-9_45	0.977139459967372	2451542	0.9101	3944	47762	0.0417696076378711	0.056990147251479	0.34351986068738	FALSE	TRUE
SEZC-9_46	0.914193250595124	225158	0.7685	1033	1695	0.0171091445427729	0.96974379980636	0.262024622189168	FALSE	FALSE
SEZC-9_47	0.836542597834687	393994	0.7903	1670	3835	0.0140808344198175	0.00501091931672002	0.292062360488019	FALSE	FALSE
SEZC-9_48	0.986378910239913	1680976	0.9154	3870	35460	0.0322899041173153	0.072253898756882	0.35530984749966	FALSE	TRUE
SEZC-9_49	0.958995004043223	2139031	0.9038	3595	19009	0.0515545268030933	0.049654056803575	0.332648051127963	FALSE	TRUE
