orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_2_4-8	WT	109134	40074	42316.0357324984	15066	atac	Fibro-FBLN1	0.74268633075504	10.3978784975683	15.2512364025197	-0.229302891936546	1.44528380543934	-0.115666004720209	-0.092707651815819
WT_2_5-1	WT	118271	44017	45925.1859276198	15605	atac	Fibro-NRK	0.52301153040133	11.682677147049	19.3183864998003	1.60335459520725	0.981562299575284	-0.115666004720209	-0.092707651815819
WT_2_5-2	WT	153404	55260	57291.447056972	16871	atac	Epi	0.770806687294872	38.6744558330064	5.26101876965173	0.984026002703096	-0.23476152465705	-0.115666004720209	-0.092707651815819
WT_2_5-3	WT	87956	31883	34236.1857907808	13811	atac	Fibro-ADAM28	0.396690122055344	3.40261298246012	20.4357096779698	-0.0606449055199827	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_5-4	WT	70630	30794	32062.0638848878	13764	atac	Erythrocyte	0.679296768302201	9.02999035660514	22.6385723827342	-0.00249521289148144	0.155742833465982	-0.115666004720209	-0.092707651815819
WT_2_5-5	WT	45866	21064	22036.0332445629	11338	atac	SM-Vascular	0.342770532073564	-16.0552115889703	-21.1745165470303	0.390105709004898	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_5-6	WT	112328	42245	43979.0166486836	15471	atac	SM-Vascular	0.237181976275445	4.52256131049292	21.543757904901	-0.257031076773985	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_5-7	WT	94527	35789	37553.8337187804	14634	atac	Fibro-ADAM28	0.322469769343432	5.16050522280076	17.2180112227853	1.51806125477163	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_5-8	WT	124399	43758	46063.9564326443	15533	atac	Fibro-ADAM28	0.368480846897034	4.04907644904766	21.1832075134008	0.0386905233768945	1.0379426268865	-0.115666004720209	-0.092707651815819
WT_2_6-1	WT	125747	43649	45654.1970347844	15577	atac	Fibro-NRK	0.634284657009998	11.7686454320783	19.6277038152631	0.348531617632968	-0.0681890411096756	-0.115666004720209	-0.092707651815819
WT_2_6-2	WT	193642	60609	63833.3295800219	17060	atac	Endo	0.902338369267095	-23.0155631987046	18.6542119874114	1.66722501127726	1.22410695240434	-0.115666004720209	-0.092707651815819
WT_2_6-3	WT	141892	50278	52666.412416043	16330	atac	Fibro-NRK	0.473275744465335	11.5329975305848	19.824183838394	1.35095105830556	-0.246849435429141	-0.115666004720209	6.14620428780441
WT_2_6-4	WT	106396	41078	43009.895407717	15101	atac	Fibro-ADAM28	0.398135836023474	3.61710346159205	21.3348367910412	-1.04018241792797	-0.0189682169651649	-0.115666004720209	-0.092707651815819
WT_2_6-5	WT	97113	37728	40015.5737436559	14777	atac	Fibro-FBLN1	0.810931320597808	10.9288906610393	17.2812518954742	-0.187527924747369	-0.0442716285458666	-0.115666004720209	-0.092707651815819
WT_2_6-6	WT	142200	48987	51309.5852728134	16113	atac	DC/Macro	0.250903689053744	4.56863599465672	19.555978008457	0.217984654219411	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_6-7	WT	72030	30598	32225.0726375365	13633	atac	Fibro-FBLN1	0.320937958667458	8.38497961383793	18.8535980629356	-0.569971009251612	-0.290287128520015	-0.115666004720209	-0.092707651815819
WT_2_6-8	WT	137626	50035	50814.0863616886	16264	atac	Fibro-NRK	0.667351150342936	12.2466645886234	19.3351352197506	0.963780433978704	-0.150686930328832	-0.115666004720209	-0.092707651815819
WT_2_7-1	WT	144334	47955	50366.8348605988	16045	atac	Fibro-ADAM28	0.315946891541654	2.85651964105953	19.3904194108168	-0.347912645510459	1.39997108754945	-0.115666004720209	-0.092707651815819
WT_2_7-2	WT	107963	39330	41587.42017103	15061	atac	Fibro-NRK	0.440114459282004	10.9414313591615	20.2886163476035	0.460735121767831	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_7-3	WT	114003	40414	42429.8226300123	15341	atac	Fibro-ADAM28	0.318468744847036	4.41150515836895	23.7837345417647	0.436010453138343	-0.955535269851143	-0.115666004720209	-0.092707651815819
